dataset,feature_set,model,calibration_method,n,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1_score,brier_score,log_loss,ece,mce,calibration_slope,calibration_intercept,tn,fp,fn,tp
Kaggle_internal_test,model_a_screening,Logistic Regression,uncalibrated,19226,0.8234687637903755,0.30384026523096985,0.7241755955476958,0.212222754108824,0.7841981132075472,0.7183685111237877,0.3340449579304282,0.17825582800733664,0.5236152671700419,0.27617754483079493,0.5269685972899425,0.8986716845689398,-2.3087159384289055,12593,4937,366,1330
NHANES,model_a_screening,Logistic Regression,uncalibrated,2291,0.761944315935568,0.3705723004673466,0.545176778699258,0.266617969320672,0.9057071960297767,0.4682203389830508,0.41196388261851014,0.28903962641857245,0.8114671699535865,0.3793716439053518,0.5254840880191152,0.8331959283905457,-2.1290208291619654,884,1004,38,365
Pima,model_a_screening,Logistic Regression,uncalibrated,768,0.7251268656716418,0.5405678948492518,0.6692708333333334,0.525,0.5485074626865671,0.734,0.5364963503649635,0.20822845258828346,0.6032230276764089,0.08950366832394534,0.2596741917802673,0.7750436730729814,-0.4840395715588299,367,133,121,147
Kaggle_internal_test,model_a_screening,Logistic Regression,platt,19226,0.8234687637903755,0.30384026523096985,0.9118381358576927,0.5024390243902439,0.0607311320754717,0.9941814033086138,0.10836401893740137,0.06984362420344291,0.24034695714925358,0.006919682784125398,0.5062523621756367,0.9698798173192452,-0.06043218346868609,17428,102,1593,103
NHANES,model_a_screening,Logistic Regression,platt,2291,0.761944315935568,0.3705723004673466,0.8219118288956787,0.4666666666666667,0.08684863523573201,0.9788135593220338,0.14644351464435146,0.1282541334706742,0.40089702411984657,0.022950522380871727,0.8440628121210535,0.8994787077494515,-0.04560760346936554,1848,40,368,35
Pima,model_a_screening,Logistic Regression,platt,768,0.7251268656716418,0.5405678948492518,0.65234375,0.6666666666666666,0.007462686567164179,0.998,0.014760147601476014,0.2709644777547081,0.8416664016491259,0.24933939389515317,0.38289724863782737,0.8365291090984955,1.4543279129693087,499,1,266,2
Kaggle_internal_test,model_a_screening,Logistic Regression,temperature,19226,0.8234687637903755,0.30384026523096985,0.7241755955476958,0.212222754108824,0.7841981132075472,0.7183685111237877,0.3340449579304282,0.17634238108054268,0.5192887615218701,0.2861325031138284,0.4871809719067539,1.0749028298813068,-2.3070833884456863,12593,4937,366,1330
NHANES,model_a_screening,Logistic Regression,temperature,2291,0.761944315935568,0.3705723004673466,0.545176778699258,0.266617969320672,0.9057071960297767,0.4682203389830508,0.41196388261851014,0.27730538242063074,0.7695410192930484,0.37297886499112637,0.47029151855021295,0.9973851223908833,-2.129289062668443,884,1004,38,365
Pima,model_a_screening,Logistic Regression,temperature,768,0.7251268656716418,0.5405678948492518,0.6692708333333334,0.525,0.5485074626865671,0.734,0.5364963503649635,0.2073800359962442,0.601434755941668,0.09922679453824307,0.26935511613262125,0.9278404698860934,-0.4839210070449685,367,133,121,147
Kaggle_internal_test,model_a_screening,Logistic Regression,isotonic,19226,0.8229956866396151,0.29094192944833175,0.9120982003536877,0.5535714285714286,0.018278301886792452,0.9985738733599544,0.03538812785388128,0.06966048096261179,0.24059039679831207,0.004079470567206174,0.037626609992872595,0.9300820785516615,-0.1268364392434498,17505,25,1665,31
NHANES,model_a_screening,Logistic Regression,isotonic,2291,0.7612280249821255,0.35511505340719063,0.8254037538192929,0.6,0.022332506203473945,0.996822033898305,0.0430622009569378,0.12725122243900003,0.3976692520698279,0.015059304170962098,0.04444444444444451,0.9445464171279901,0.013481627293617546,1882,6,394,9
Pima,model_a_screening,Logistic Regression,isotonic,768,0.7237350746268657,0.5324260340196495,0.65234375,1.0,0.0037313432835820895,1.0,0.007434944237918215,0.2692136444327407,0.8461104908793077,0.2484288354238977,0.5,0.7374381365139687,1.2585258522844707,500,0,267,1
Kaggle_internal_test,model_a_screening,Logistic Regression,beta,19226,0.8234687637903755,0.30384026523096985,0.9124102777488817,0.5491803278688525,0.039504716981132074,0.9968625213918996,0.0737073707370737,0.06964302361578115,0.24000350644720728,0.0025324369583214967,0.9454593144474766,0.963766671275039,-0.06973813078178266,17475,55,1629,67
NHANES,model_a_screening,Logistic Regression,beta,2291,0.761944315935568,0.3705723004673466,0.8271497162811,0.5897435897435898,0.05707196029776675,0.9915254237288136,0.10407239819004525,0.1275180446002029,0.398347463542759,0.016126581516894063,0.7403189669085395,0.9719247107908774,0.061583274872566374,1872,16,380,23
Pima,model_a_screening,Logistic Regression,beta,768,0.7251268656716418,0.5405678948492518,0.65234375,1.0,0.0037313432835820895,1.0,0.007434944237918215,0.2691454101460144,0.8332960204801209,0.24766091158253328,0.42084822898145746,0.8167315318415258,1.400874960698466,500,0,267,1
Kaggle_internal_test,model_a_screening,Random Forest,uncalibrated,19226,0.8207710131687995,0.2939294482933099,0.730989285342765,0.21367380560131796,0.7647405660377359,0.7277239018824871,0.334020087561164,0.1612218768606239,0.47347967003708397,0.2503408708159207,0.4806435593815134,1.0019967276352575,-2.1325617617356807,12757,4773,399,1297
NHANES,model_a_screening,Random Forest,uncalibrated,2291,0.771707558775287,0.37714872639347813,0.5665648188563945,0.2754946727549467,0.8982630272952854,0.4957627118644068,0.42166569598136283,0.25759828674640073,0.7135930621042178,0.3428123601375159,0.4508878053167831,1.0852231417495308,-2.064674021749916,936,952,41,362
Pima,model_a_screening,Random Forest,uncalibrated,768,0.7202649253731344,0.5245059842070199,0.6809895833333334,0.5614973262032086,0.3917910447761194,0.836,0.46153846153846156,0.2056711596257708,0.5937761161819739,0.08020058254622431,0.2896096461795161,0.7209213017588599,-0.0866892623612868,418,82,163,105
Kaggle_internal_test,model_a_screening,Random Forest,platt,19226,0.8207710131687995,0.2939294482933099,0.9112659939665037,0.4479166666666667,0.02535377358490566,0.9969766115231032,0.04799107142857143,0.07004216601244556,0.24082858451457934,0.0030575216547492185,0.36206364480449715,0.9682794021922272,-0.05687469465926596,17477,53,1653,43
NHANES,model_a_screening,Random Forest,platt,2291,0.771707558775287,0.37714872639347813,0.8254037538192929,0.5789473684210527,0.02729528535980149,0.9957627118644068,0.052132701421800945,0.12651627339368476,0.3935003054069613,0.022545441982686237,0.06288831386641758,1.0493655569786953,0.18260833483807287,1880,8,392,11
Pima,model_a_screening,Random Forest,platt,768,0.7202649253731344,0.5245059842070199,0.6510416666666666,0.0,0.0,1.0,0.0,0.28707216280542697,0.9540445752103045,0.27313333397027634,0.43170068435275555,0.6966378640544865,1.4062121015052846,500,0,268,0
Kaggle_internal_test,model_a_screening,Random Forest,temperature,19226,0.8207710131687995,0.2939294482933099,0.730989285342765,0.21367380560131796,0.7647405660377359,0.7277239018824871,0.334020087561164,0.1613733414724586,0.4734951296588563,0.24945801195683967,0.48178460119867816,0.9874837422971539,-2.132656519850073,12757,4773,399,1297
NHANES,model_a_screening,Random Forest,temperature,2291,0.771707558775287,0.37714872639347813,0.5665648188563945,0.2754946727549467,0.8982630272952854,0.4957627118644068,0.42166569598136283,0.2584039964316292,0.7158660807129279,0.3430108152546763,0.45242791633697527,1.069614118791367,-2.0649062805301215,936,952,41,362
Pima,model_a_screening,Random Forest,temperature,768,0.7202649253731344,0.5245059842070199,0.6809895833333334,0.5614973262032086,0.3917910447761194,0.836,0.46153846153846156,0.20604299596382955,0.5947367303284726,0.08612297195490234,0.29221513130548576,0.7105090196625603,-0.08679205040094791,418,82,163,105
Kaggle_internal_test,model_a_screening,Random Forest,isotonic,19226,0.8207301802032096,0.2844820771124509,0.9114220326641007,0.46601941747572817,0.02830188679245283,0.9968625213918996,0.05336297943301834,0.07011231642533398,0.24112919647735673,0.004297494304858824,0.8042223900576219,0.9401047969463667,-0.10592359095505129,17475,55,1648,48
NHANES,model_a_screening,Random Forest,isotonic,2291,0.7714966143752366,0.3610492104290263,0.8249672632038412,0.55,0.02729528535980149,0.9952330508474576,0.05200945626477541,0.1265953968092339,0.3941534559160872,0.020571458212368533,0.05256410256410238,1.0359352402934532,0.16695709514209217,1879,9,392,11
Pima,model_a_screening,Random Forest,isotonic,768,0.7190522388059701,0.5167436677680083,0.6510416666666666,0.0,0.0,1.0,0.0,0.28660934627170803,0.9555240423351927,0.27317778766023554,0.4365411502554819,0.6830555952188806,1.3764794306443717,500,0,268,0
Kaggle_internal_test,model_a_screening,Random Forest,beta,19226,0.8207710131687995,0.2939294482933099,0.9112659939665037,0.4479166666666667,0.02535377358490566,0.9969766115231032,0.04799107142857143,0.07004167882592723,0.24082651566468907,0.0030639859314319407,0.36151833379881704,0.9690844159080414,-0.05616124422265031,17477,53,1653,43
NHANES,model_a_screening,Random Forest,beta,2291,0.771707558775287,0.37714872639347813,0.8254037538192929,0.5789473684210527,0.02729528535980149,0.9957627118644068,0.052132701421800945,0.12651422859660683,0.3934963612777517,0.02253946684897212,0.06327523238467336,1.0504831554622363,0.18375071519103117,1880,8,392,11
Pima,model_a_screening,Random Forest,beta,768,0.7202649253731344,0.5245059842070199,0.6510416666666666,0.0,0.0,1.0,0.0,0.28702908175066244,0.9536259614586013,0.27307027148871116,0.4315847900179703,0.6971584756355791,1.4065788874807565,500,0,268,0
Kaggle_internal_test,model_a_screening,XGBoost,uncalibrated,19226,0.8225880801375539,0.3060987913844538,0.9112139810673047,0.47342995169082125,0.05778301886792453,0.993782087849401,0.10299527062532843,0.06972380953980478,0.24053840195649137,0.006719844593687588,0.33142178257306415,0.8752098971538853,-0.22815804674131396,17421,109,1598,98
NHANES,model_a_screening,XGBoost,uncalibrated,2291,0.7590660091685242,0.3746682854627878,0.8262767350501964,0.5352112676056338,0.09429280397022333,0.982521186440678,0.16033755274261605,0.12806681095713868,0.40116214330364036,0.02353617683645917,0.8152505159378052,0.8205145115745026,-0.121179557994945,1855,33,365,38
Pima,model_a_screening,XGBoost,uncalibrated,768,0.7023283582089552,0.5050914099821016,0.65234375,0.6666666666666666,0.007462686567164179,0.998,0.014760147601476014,0.2850472247657691,0.9812984786137271,0.2661514421282239,0.3963159185064875,0.5166770753848712,0.9396646495771697,499,1,266,2
Kaggle_internal_test,model_a_screening,XGBoost,platt,19226,0.8225880801375539,0.3060987913844538,0.9124102777488817,0.5461538461538461,0.04186320754716981,0.9966343411294923,0.07776560788608981,0.06956948000096666,0.2398597896312488,0.0032580729371900277,0.4516972749259357,0.9672295350839478,-0.06559968705244619,17471,59,1625,71
NHANES,model_a_screening,XGBoost,platt,2291,0.7590660091685242,0.3746682854627878,0.8245307725883894,0.5116279069767442,0.05459057071960298,0.9888771186440678,0.09865470852017937,0.12787981372752044,0.40039451381352914,0.022855525978777876,0.7642860954231463,0.9065114963031088,0.030778717278226713,1867,21,381,22
Pima,model_a_screening,XGBoost,platt,768,0.7023283582089552,0.5050914099821016,0.6510416666666666,0.0,0.0,1.0,0.0,0.28434343452019284,0.9548576537116729,0.2657323245630052,0.3748307367277255,0.5708103141614823,1.035401475515117,500,0,268,0
Kaggle_internal_test,model_a_screening,XGBoost,temperature,19226,0.8225880801375539,0.3060987913844538,0.9112139810673047,0.47342995169082125,0.05778301886792453,0.993782087849401,0.10299527062532843,0.06973944347383318,0.24039182990054342,0.00698838852443457,0.33412825485498837,0.898702433238197,-0.22943256080220498,17421,109,1598,98
NHANES,model_a_screening,XGBoost,temperature,2291,0.7590660091685242,0.3746682854627878,0.8262767350501964,0.5352112676056338,0.09429280397022333,0.982521186440678,0.16033755274261605,0.12790042064564558,0.4002544344979328,0.020432461877305373,0.80922053421932,0.8424483574319355,-0.12193297875138867,1855,33,365,38
Pima,model_a_screening,XGBoost,temperature,768,0.7023283582089552,0.5050914099821016,0.65234375,0.6666666666666666,0.007462686567164179,0.998,0.014760147601476014,0.28302469785053774,0.9613286996748786,0.2629499514039134,0.3582208646747929,0.5308554450831878,0.9397595536853718,499,1,266,2
Kaggle_internal_test,model_a_screening,XGBoost,isotonic,19226,0.8219304137650819,0.2957411731509319,0.9124622906480807,0.5474452554744526,0.044221698113207544,0.9964632059326868,0.08183306055646482,0.06961729253785312,0.23997258009682,0.004670077658355072,0.8824316556649858,0.943787730723135,-0.10594690122752211,17468,62,1621,75
NHANES,model_a_screening,XGBoost,isotonic,2291,0.759443211927493,0.36348599481355204,0.8240942819729375,0.5,0.05707196029776675,0.9878177966101694,0.10244988864142539,0.12784502061052277,0.4001291896911713,0.01998372575836368,0.8054458232326219,0.8987361574749634,0.01537038352676048,1865,23,380,23
Pima,model_a_screening,XGBoost,isotonic,768,0.7003768656716418,0.4983931661075154,0.65234375,1.0,0.0037313432835820895,1.0,0.007434944237918215,0.28451907518315134,0.9720511543862046,0.2662294934636471,0.4807692307692307,0.5349509404592637,0.9672163329418881,500,0,267,1
Kaggle_internal_test,model_a_screening,XGBoost,beta,19226,0.8225880801375539,0.3060987913844538,0.9122022261520857,0.5512820512820513,0.02535377358490566,0.9980034227039362,0.048478015783540024,0.06953910454814513,0.239911943006768,0.0024288174028665823,0.2797343285734215,0.9662688817662877,-0.06622904173773815,17495,35,1653,43
NHANES,model_a_screening,XGBoost,beta,2291,0.7590660091685242,0.3746682854627878,0.8249672632038412,0.5384615384615384,0.034739454094292806,0.9936440677966102,0.06526806526806526,0.12777100798415375,0.3998938098153968,0.01989421179332852,0.1240737850385939,0.9293043505984557,0.06610757742154974,1876,12,389,14
Pima,model_a_screening,XGBoost,beta,768,0.7023283582089552,0.5050914099821016,0.6510416666666666,0.0,0.0,1.0,0.0,0.28394757178283275,0.9578697003086637,0.2656142176273546,0.3828391835525954,0.5568038216991507,1.008627644376471,500,0,268,0
Kaggle_internal_test,model_a_screening,LightGBM,uncalibrated,19226,0.8158782383837949,0.3014170357290672,0.7336419432019141,0.2126195670414499,0.7470518867924528,0.7323445521962351,0.3310254735467015,0.1663446267355695,0.4827240825337962,0.2400643734201262,0.5206867551936438,0.7851236515662251,-2.1185105019820742,12838,4692,429,1267
NHANES,model_a_screening,LightGBM,uncalibrated,2291,0.7649737666652647,0.37640460500633044,0.5809690091663029,0.27773343974461295,0.8635235732009926,0.520656779661017,0.42028985507246375,0.26245128943886703,0.7284294601913238,0.32815620095224446,0.5097279895284677,0.8056677803641262,-1.9284461610796317,983,905,55,348
Pima,model_a_screening,LightGBM,uncalibrated,768,0.6860858208955224,0.5109289504273326,0.6653645833333334,0.5265700483091788,0.40671641791044777,0.804,0.4589473684210526,0.22337839120041678,0.6635514294073909,0.1270759726139709,0.5061108130248909,0.43380662511799417,-0.19698774809985403,402,98,159,109
Kaggle_internal_test,model_a_screening,LightGBM,platt,19226,0.8158782383837949,0.3014170357290672,0.9118381358576927,0.5084745762711864,0.01768867924528302,0.9983456930975471,0.03418803418803419,0.06993279945660957,0.242784325996711,0.004074094009512817,0.7022792771797365,0.9630282935594077,-0.07289633083670351,17501,29,1666,30
NHANES,model_a_screening,LightGBM,platt,2291,0.7649737666652647,0.37640460500633044,0.8240942819729375,0.5,0.019851116625310174,0.9957627118644068,0.03818615751789976,0.12729545629984415,0.3979702801563821,0.02283369555860639,0.09492330236934426,0.9885442057744528,0.17095593588934097,1880,8,395,8
Pima,model_a_screening,LightGBM,platt,768,0.6860858208955224,0.5109289504273326,0.6510416666666666,0.0,0.0,1.0,0.0,0.283171485741516,0.966177653299443,0.26647093176352016,0.4383924822988907,0.5320662206795396,0.9332566695756962,500,0,268,0
Kaggle_internal_test,model_a_screening,LightGBM,temperature,19226,0.8158782383837949,0.3014170357290672,0.7336419432019141,0.2126195670414499,0.7470518867924528,0.7323445521962351,0.3310254735467015,0.16256186408826429,0.47531767447365797,0.25122421981116105,0.4773325317804843,0.9929485296299165,-2.1186850896506493,12838,4692,429,1267
NHANES,model_a_screening,LightGBM,temperature,2291,0.7649737666652647,0.37640460500633044,0.5809690091663029,0.27773343974461295,0.8635235732009926,0.520656779661017,0.42028985507246375,0.248010048324348,0.6858667003248929,0.32228149811898965,0.458536361171153,1.01766588407657,-1.9270548132187384,983,905,55,348
Pima,model_a_screening,LightGBM,temperature,768,0.6860858208955224,0.5109289504273326,0.6653645833333334,0.5265700483091788,0.40671641791044777,0.804,0.4589473684210526,0.21459526985074076,0.6250044996952004,0.088434181135692,0.29845560914839847,0.5485260039383384,-0.1970255383649431,402,98,159,109
Kaggle_internal_test,model_a_screening,LightGBM,isotonic,19226,0.8154084406516053,0.2905118749644868,0.9118901487568917,0.5092592592592593,0.03242924528301887,0.9969766115231032,0.06097560975609756,0.07001087013897554,0.24282550665844144,0.0032783098559051515,0.4059741603401742,0.9416668214282136,-0.11262457110335904,17477,53,1641,55
NHANES,model_a_screening,LightGBM,isotonic,2291,0.7642436756108845,0.3632627848420857,0.8249672632038412,0.5384615384615384,0.034739454094292806,0.9936440677966102,0.06526806526806526,0.12765791342018437,0.3998180245484011,0.02344533451394645,0.05877148189274184,0.9192325638557949,0.06207941735355307,1876,12,389,14
Pima,model_a_screening,LightGBM,isotonic,768,0.6859888059701493,0.5052121840210392,0.6510416666666666,0.0,0.0,1.0,0.0,0.2835347929552259,0.9637463068837393,0.2661438571147361,0.39376304593360456,0.5446748882799572,0.952908312877997,500,0,268,0
Kaggle_internal_test,model_a_screening,LightGBM,beta,19226,0.8158782383837949,0.3014170357290672,0.9117341100592947,0.49572649572649574,0.03419811320754717,0.9966343411294923,0.06398234969663541,0.06992231447478983,0.24236747782144694,0.0019155138321799475,0.41356111241274157,0.9676019384062615,-0.06621180952052724,17471,59,1638,58
NHANES,model_a_screening,LightGBM,beta,2291,0.7649737666652647,0.37640460500633044,0.8245307725883894,0.5172413793103449,0.03722084367245657,0.9925847457627118,0.06944444444444445,0.12731416017040065,0.39862707628881017,0.02280594777983829,0.1330425527454423,0.9409780501064312,0.09298890107997324,1874,14,388,15
Pima,model_a_screening,LightGBM,beta,768,0.6860858208955224,0.5109289504273326,0.65234375,1.0,0.0037313432835820895,1.0,0.007434944237918215,0.2839048421784262,0.9606171740177922,0.26656928816625935,0.4980435973205919,0.5636476211506309,1.0011881281191461,500,0,267,1
Kaggle_internal_test,model_a_screening,CatBoost,uncalibrated,19226,0.8254382480437847,0.3044252335303478,0.9112139810673047,0.472636815920398,0.05601415094339623,0.9939532230462065,0.10015814443858724,0.06973863683250783,0.23933949890717077,0.005174282118412166,0.5049151927098285,0.9088896611410028,-0.1716642416598398,17424,106,1601,95
NHANES,model_a_screening,CatBoost,uncalibrated,2291,0.7604900481557809,0.3745617064491512,0.8262767350501964,0.5510204081632653,0.06699751861042183,0.9883474576271186,0.11946902654867257,0.12766947499288483,0.3995239450252497,0.02105538497233263,0.833199400124268,0.8854205058098356,-0.04895616261764384,1866,22,376,27
Pima,model_a_screening,CatBoost,uncalibrated,768,0.70780223880597,0.5111372069631658,0.6497395833333334,0.0,0.0,0.998,0.0,0.28751044270216736,0.9795149305510885,0.27305949751125375,0.5279453643173561,0.5837647948734459,1.123342523885977,499,1,268,0
Kaggle_internal_test,model_a_screening,CatBoost,platt,19226,0.8254382480437847,0.3044252335303478,0.9112659939665037,0.4675324675324675,0.04245283018867924,0.9953223046206503,0.07783783783783783,0.06962716276151817,0.23899797906396122,0.0023508224982277844,0.3489119417740627,0.9688138779098959,-0.06507562257410286,17448,82,1624,72
NHANES,model_a_screening,CatBoost,platt,2291,0.7604900481557809,0.3745617064491512,0.8249672632038412,0.5263157894736842,0.04962779156327544,0.9904661016949152,0.09070294784580499,0.12762676381756993,0.39936966112573097,0.01873600092828727,0.8021177941171999,0.9433378218077365,0.05435798379948839,1870,18,383,20
Pima,model_a_screening,CatBoost,platt,768,0.70780223880597,0.5111372069631658,0.6510416666666666,0.0,0.0,1.0,0.0,0.2870107599282125,0.9628650461656226,0.27096074253551977,0.37179688198189464,0.6221343021633536,1.1915701805898868,500,0,268,0
Kaggle_internal_test,model_a_screening,CatBoost,temperature,19226,0.8254382480437847,0.3044252335303478,0.9112139810673047,0.472636815920398,0.05601415094339623,0.9939532230462065,0.10015814443858724,0.0697379865536779,0.23927397811486356,0.004644210092242807,0.4408744245217677,0.9251805367041871,-0.17118556667723173,17424,106,1601,95
NHANES,model_a_screening,CatBoost,temperature,2291,0.7604900481557809,0.3745617064491512,0.8262767350501964,0.5510204081632653,0.06699751861042183,0.9883474576271186,0.11946902654867257,0.12756793060253283,0.39908556849062554,0.01760120890400753,0.8293391046828692,0.900472167662594,-0.049262074796726105,1866,22,376,27
Pima,model_a_screening,CatBoost,temperature,768,0.70780223880597,0.5111372069631658,0.6497395833333334,0.0,0.0,0.998,0.0,0.2861759156951354,0.9666307726429858,0.27093911503138984,0.5274681500670536,0.5939327328334926,1.123342076705811,499,1,268,0
Kaggle_internal_test,model_a_screening,CatBoost,isotonic,19226,0.8252253885522393,0.2954448326224049,0.9117341100592947,0.49523809523809526,0.030660377358490566,0.9969766115231032,0.05774569683509161,0.06960430712491612,0.23957402127059027,0.0031480702768423244,0.7229091520749528,0.9413532965490684,-0.11024754561019745,17477,53,1644,52
NHANES,model_a_screening,CatBoost,isotonic,2291,0.7610183948774025,0.3651511791105618,0.8254037538192929,0.5483870967741935,0.04218362282878412,0.9925847457627118,0.07834101382488479,0.12739811729900183,0.3988824200328308,0.015210719716054652,0.03294660121969356,0.950542382906047,0.05790555536207878,1874,14,386,17
Pima,model_a_screening,CatBoost,isotonic,768,0.7065335820895522,0.5076886383792697,0.6510416666666666,0.0,0.0,1.0,0.0,0.28602524650393985,0.9672862663780544,0.2710817264043577,0.42780074077853186,0.5900249126827748,1.1353568886975127,500,0,268,0
Kaggle_internal_test,model_a_screening,CatBoost,beta,19226,0.8254382480437847,0.3044252335303478,0.9116820971600957,0.4878048780487805,0.02358490566037736,0.9976041072447234,0.04499437570303712,0.06951064476654595,0.23877365938068731,0.001929740903406185,0.1812001477748182,0.9675311892815055,-0.06594252409043751,17488,42,1656,40
NHANES,model_a_screening,CatBoost,beta,2291,0.7604900481557809,0.3745617064491512,0.8249672632038412,0.5357142857142857,0.03722084367245657,0.993114406779661,0.06960556844547564,0.12743200866097995,0.39850942249093285,0.016895527659408088,0.220866613849786,0.9789909596627226,0.10253346118308543,1875,13,388,15
Pima,model_a_screening,CatBoost,beta,768,0.70780223880597,0.5111372069631658,0.6510416666666666,0.0,0.0,1.0,0.0,0.28639580710298523,0.967506350611757,0.27055091265443604,0.377346305341531,0.5957996827656288,1.1363807325151798,500,0,268,0
Kaggle_internal_test,model_b_routine_clinical,Logistic Regression,uncalibrated,19226,0.9595690574917393,0.8121083791655915,0.8855716217621971,0.42750287686996546,0.8761792452830188,0.8864803194523674,0.5746326372776489,0.07973627405627032,0.25021700629977,0.12735191292237608,0.5806569889674871,0.9693476629385922,-2.350306897035939,15540,1990,210,1486
